numTreatments,instCode,name,type,journals,dois,country,country_name,region
878,USNM,"Smithsonian Institution, National Museum of Natural History",MUSEUM,ZooKeys;Journal of Hymenoptera Research;Zoosystematics and Evolution;Subterranean Biology;Journal of Orthoptera Research;Deutsche Entomologische Zeitschrift,10.3897/zookeys.837.32057;10.3897/zookeys.835.32562;10.3897/zookeys.835.27528;10.3897/zookeys.818.30974;10.3897/zookeys.884.36154;10.3897/zookeys.881.34646;10.3897/JHR.47.5730;10.3897/JHR.49.7714;10.3897/zse.92.5789;10.3897/zse.91.5715;10.3897/zookeys.896.36493;10.3897/zookeys.809.29280;10.3897/zookeys.803.28124;10.3897/zookeys.796.22517;10.3897/zookeys.796.21431;10.3897/zookeys.796.21432;10.3897/zookeys.796.21429;10.3897/zookeys.796.21285;10.3897/zookeys.796.22058;10.3897/zookeys.796.21054;10.3897/jhr.51.9830;10.3897/jhr.53.10369;10.3897/jhr.53.9890;10.3897/jhr.53.9902;10.3897/jhr.53.11027;10.3897/jhr.54.10457;10.3897/jhr.54.10096;10.3897/jhr.56.10158;10.3897/jhr.61.13466;10.3897/jhr.63.12754;10.3897/jhr.72.38908;10.3897/jhr.73.38025;10.3897/zookeys.795.27070;10.3897/zookeys.794.26789;10.3897/zookeys.792.28034;10.3897/zookeys.788.26282;10.3897/zookeys.788.26885;10.3897/zookeys.787.26948;10.3897/zookeys.786.28421;10.3897/zookeys.786.27382;10.3897/zookeys.785.28006;10.3897/zookeys.778.25775;10.3897/zookeys.775.26893;10.3897/zookeys.768.24423;10.3897/zookeys.766.24523;10.3897/subtbiol.30.36273;10.3897/zookeys.755.23939;10.3897/zookeys.752.23712;10.3897/zookeys.744.22766;10.3897/zookeys.729.21779;10.3897/zookeys.727.20222;10.3897/zookeys.720.12715;10.3897/zookeys.711.17766;10.3897/zookeys.707.12649;10.3897/zse.95.33880;10.3897/zookeys.869.34166;10.3897/zookeys.867.28728;10.3897/zookeys.863.33183;10.3897/zookeys.857.34465;10.3897/zookeys.854.35133;10.3897/zookeys.842.33609;10.3897/zookeys.527.6087;10.3897/zookeys.528.6001;10.3897/zookeys.530.6155;10.3897/zookeys.532.6587;10.3897/zookeys.534.6019;10.3897/zookeys.537.6115;10.3897/zookeys.690.13751;10.3897/zookeys.679.12805;10.3897/zookeys.679.13472;10.3897/zookeys.676.12987;10.3897/zookeys.655.11339;10.3897/zookeys.646.11132;10.3897/zookeys.912.47719;10.3897/zookeys.907.36563;10.3897/jor.29.51328;10.3897/zookeys.546.6344;10.3897/zookeys.557.5939;10.3897/zookeys.565.7185;10.3897/zookeys.580.8153;10.3897/zookeys.596.8217;10.3897/zookeys.597.7520;10.3897/zookeys.825.32271;10.3897/zookeys.955.53644;10.3897/zookeys.959.53415;10.3897/zookeys.712.14955;10.3897/zookeys.677.12435;10.3897/zookeys.674.11435;10.3897/zookeys.671.12052;10.3897/zookeys.669.11773;10.3897/zookeys.668.12203;10.3897/zookeys.667.6080;10.3897/zookeys.661.11251;10.3897/zookeys.651.11235;10.3897/zookeys.648.10935;10.3897/zookeys.641.11500;10.3897/zookeys.635.10535;10.3897/zookeys.631.10718;10.3897/zookeys.630.9298;10.3897/zookeys.623.10018;10.3897/zookeys.623.10272;10.3897/zookeys.618.9692;10.3897/zookeys.617.9178;10.3897/zookeys.615.9530;10.3897/zookeys.614.10200;10.3897/zookeys.980.56807;10.3897/zookeys.982.52363;10.3897/zookeys.995.55981;10.3897/zookeys.1001.58447;10.3897/jhr.76.48004;10.3897/jhr.76.38340;10.3897/jhr.74.39299;10.3897/dez.66.47447;10.3897/zookeys.606.8590;10.3897/zookeys.605.8060;10.3897/zookeys.603.7480;10.3897/zookeys.601.9040;10.3897/zookeys.594.7750;10.3897/zookeys.592.8180;10.3897/zookeys.572.7823;10.3897/zookeys.571.7440;10.3897/zookeys.566.7344;10.3897/zookeys.566.6982;10.3897/zookeys.562.6181;10.3897/zookeys.562.7310;10.3897/zookeys.561.7263;10.3897/zookeys.552.6475;10.3897/zookeys.533.6004;10.3897/zookeys.1008.60704;10.3897/zookeys.1007.60012;10.3897/jhr.80.59466;10.3897/zookeys.970.54801;10.3897/zookeys.1019.59881;10.3897/zookeys.1028.61018;10.3897/subtbiol.38.61787;10.3897/zookeys.817.29406;10.3897/JHR.45.5442;10.3897/zookeys.782.27938;10.3897/zookeys.770.24281;10.3897/zookeys.765.24144;10.3897/zookeys.537.6090;10.3897/zookeys.670.11839;10.3897/zookeys.661.9728,US,United States,GN
510,NHMUK,"Natural History Museum, London",MUSEUM,ZooKeys;Zoosystematics and Evolution;Journal of Hymenoptera Research;Subterranean Biology;Nota Lepidopterologica;Deutsche Entomologische Zeitschrift,10.3897/zookeys.837.32057;10.3897/zookeys.594.8623;10.3897/zookeys.593.8511;10.3897/zse.93.10995;10.3897/zookeys.896.36493;10.3897/zookeys.806.21916;10.3897/zookeys.796.23076;10.3897/jhr.68.30131;10.3897/jhr.73.33876;10.3897/jhr.73.38383;10.3897/zookeys.795.28384;10.3897/zookeys.793.25005;10.3897/zookeys.790.26130;10.3897/zookeys.782.27938;10.3897/zookeys.777.23212;10.3897/zookeys.773.24878;10.3897/subtbiol.25.23463;10.3897/zookeys.755.23939;10.3897/zookeys.718.13700;10.3897/zookeys.705.19815;10.3897/zse.95.33880;10.3897/zookeys.867.28728;10.3897/zookeys.857.34938;10.3897/zookeys.854.35133;10.3897/zookeys.842.29243;10.3897/zookeys.529.6139;10.3897/zookeys.899.47070;10.3897/zookeys.912.47719;10.3897/zookeys.911.38496;10.3897/zookeys.907.36563;10.3897/nl.43.50430;10.3897/zookeys.564.6560;10.3897/jhr.78.53064;10.3897/zookeys.684.13383;10.3897/zookeys.677.12435;10.3897/zookeys.672.10212;10.3897/zookeys.646.10897;10.3897/zookeys.611.9058;10.3897/zookeys.976.53859;10.3897/zookeys.990.55542;10.3897/zookeys.995.55981;10.3897/zookeys.1001.58447;10.3897/dez.67.51332;10.3897/zookeys.592.8118;10.3897/zookeys.589.7933;10.3897/zookeys.590.7950;10.3897/zookeys.566.6982;10.3897/zookeys.1007.55543;10.3897/zookeys.1007.60012;10.3897/zse.97.52354;10.3897/subtbiol.37.55376;10.3897/zookeys.1012.54779;10.3897/zookeys.1019.60364;10.3897/zookeys.1028.56784;10.3897/zookeys.1031.62391;10.3897/jhr.82.64657;10.3897/zookeys.1037.64038;10.3897/zookeys.520.6006;10.3897/zookeys.761.24214;10.3897/zookeys.710.13941;10.3897/nl.40.14528,GB,United Kingdom,GN
466,MNHN,Museum National d'Histoire Naturelle,MUSEUM,Deutsche Entomologische Zeitschrift;ZooKeys;Zoosystematics and Evolution;Journal of Hymenoptera Research;MycoKeys,10.3897/dez.65.26693;10.3897/zookeys.837.32057;10.3897/zookeys.824.31635;10.3897/zookeys.821.29019;10.3897/zse.95.32818;10.3897/zse.93.10802;10.3897/zse.92.9945;10.3897/zookeys.811.29187;10.3897/zookeys.803.28124;10.3897/zookeys.802.26622;10.3897/zookeys.800.26292;10.3897/zookeys.796.22517;10.3897/jhr.55.12209;10.3897/jhr.64.25453;10.3897/jhr.68.30131;10.3897/zookeys.788.26325;10.3897/zookeys.786.28270;10.3897/zookeys.782.27938;10.3897/zookeys.768.24423;10.3897/zookeys.764.25108;10.3897/zookeys.760.24837;10.3897/zookeys.752.23712;10.3897/zookeys.747.24351;10.3897/zookeys.740.21729;10.3897/zookeys.740.20458;10.3897/zookeys.699.12031;10.3897/zookeys.870.36970;10.3897/zookeys.848.32263;10.3897/zookeys.539.6664;10.3897/zookeys.547.9698;10.3897/zookeys.803.28903;10.3897/zookeys.697.13381;10.3897/zookeys.668.11347;10.3897/zookeys.899.47070;10.3897/zookeys.917.39270;10.3897/mycokeys.67.51811;10.3897/zookeys.545.6111;10.3897/zookeys.572.7177;10.3897/zookeys.594.8768;10.3897/zookeys.935.51931;10.3897/zookeys.963.54714;10.3897/zookeys.680.11162;10.3897/zookeys.679.12547;10.3897/zookeys.677.12435;10.3897/zookeys.648.10935;10.3897/zookeys.646.11397;10.3897/zookeys.635.9915;10.3897/zookeys.632.9652;10.3897/zookeys.619.10043;10.3897/zookeys.615.9179;10.3897/zookeys.980.54100;10.3897/zookeys.987.54234;10.3897/zookeys.1001.58447;10.3897/zookeys.600.9345;10.3897/zookeys.592.8118;10.3897/zookeys.578.7994;10.3897/zookeys.566.7344;10.3897/zookeys.566.6982;10.3897/zookeys.561.7137;10.3897/zookeys.554.6120;10.3897/zookeys.554.6069;10.3897/zookeys.523.6066;10.3897/zookeys.1010.58759;10.3897/zookeys.1019.59881;10.3897/zookeys.1023.58733;10.3897/zookeys.1031.56035;10.3897/zookeys.1032.63905;10.3897/zookeys.1039.66493;10.3897/zookeys.838.28634;10.3897/zookeys.765.24395;10.3897/zse.93.10188;10.3897/zookeys.957.52565;10.3897/zookeys.984.53587;10.3897/zookeys.997.52857,FR,France,GN
438,CNC,"Canadian National Collection of Insects, Arachnids, and Nematodes",COLLECTION,ZooKeys;Journal of Hymenoptera Research;Deutsche Entomologische Zeitschrift,10.3897/zookeys.835.33440;10.3897/zookeys.884.36154;10.3897/zookeys.881.34646;10.3897/zookeys.896.36493;10.3897/zookeys.796.21432;10.3897/zookeys.796.21429;10.3897/zookeys.796.21285;10.3897/JHR.50.8220;10.3897/jhr.53.9902;10.3897/jhr.54.10457;10.3897/jhr.54.11662;10.3897/jhr.57.12892;10.3897/jhr.61.21015;10.3897/jhr.63.12754;10.3897/jhr.64.25453;10.3897/jhr.70.35555;10.3897/zookeys.788.26282;10.3897/zookeys.788.26068;10.3897/zookeys.788.26480;10.3897/zookeys.788.26484;10.3897/zookeys.788.26310;10.3897/zookeys.788.26048;10.3897/zookeys.788.26885;10.3897/zookeys.755.23939;10.3897/zookeys.736.20883;10.3897/zookeys.730.22869;10.3897/zookeys.724.21415;10.3897/zookeys.721.21747;10.3897/zookeys.718.21151;10.3897/zookeys.701.13261;10.3897/zookeys.584.8319;10.3897/zookeys.841.33549;10.3897/zookeys.527.6087;10.3897/zookeys.527.9771;10.3897/dez.63.8977;10.3897/zookeys.664.11881;10.3897/zookeys.646.10787;10.3897/zookeys.559.6134;10.3897/zookeys.572.6763;10.3897/zookeys.573.7878;10.3897/zookeys.621.10115;10.3897/zookeys.681.12522;10.3897/zookeys.658.11569;10.3897/zookeys.626.10033;10.3897/zookeys.618.8059;10.3897/zookeys.610.9361;10.3897/jhr.79.56162;10.3897/zookeys.990.55542;10.3897/zookeys.595.8752;10.3897/zookeys.582.7684;10.3897/zookeys.573.7830;10.3897/zookeys.573.7016;10.3897/zookeys.566.6982;10.3897/zookeys.533.6004;10.3897/zookeys.1007.60012;10.3897/dez.68.59641;10.3897/zookeys.1024.60393;10.3897/zookeys.1028.56784;10.3897/zookeys.1039.66493;10.3897/zookeys.984.53587,CA,Canada,GN
428,BMNH,"Natural History Museum, London",MUSEUM,Deutsche Entomologische Zeitschrift;ZooKeys;Zoosystematics and Evolution;Journal of Hymenoptera Research;Evolutionary Systematics,10.3897/dez.65.26261;10.3897/dez.65.27424;10.3897/zookeys.881.34646;10.3897/zse.94.26859;10.3897/zookeys.806.30051;10.3897/zookeys.800.26292;10.3897/zookeys.796.22517;10.3897/jhr.54.10457;10.3897/jhr.58.12919;10.3897/jhr.62.23559;10.3897/jhr.63.12754;10.3897/jhr.70.34206;10.3897/jhr.72.38908;10.3897/zookeys.789.27022;10.3897/zookeys.785.28006;10.3897/zookeys.766.24523;10.3897/zookeys.753.22366;10.3897/zookeys.748.23856;10.3897/zookeys.736.21628;10.3897/zookeys.715.20497;10.3897/zookeys.704.13304;10.3897/zookeys.878.37403;10.3897/zookeys.861.32594;10.3897/zookeys.853.33311;10.3897/zookeys.803.28903;10.3897/zookeys.700.11784;10.3897/zookeys.693.13012;10.3897/zookeys.669.12608;10.3897/zookeys.664.11881;10.3897/zookeys.681.12522;10.3897/zookeys.674.11435;10.3897/zookeys.658.11569;10.3897/zookeys.974.54536;10.3897/zookeys.982.52363;10.3897/jhr.76.48004;10.3897/jhr.76.38340;10.3897/dez.66.47447;10.3897/zookeys.1023.53404;10.3897/zookeys.1028.61018;10.3897/JHR.50.8220;10.3897/zookeys.787.26948;10.3897/zookeys.767.21105;10.3897/zookeys.521.5995;10.3897/zookeys.522.10294;10.3897/zookeys.758.23019;10.3897/zookeys.746.23637;10.3897/zookeys.541.6297;10.3897/zookeys.551.6168;10.3897/dez.63.7556;10.3897/zookeys.670.11839;10.3897/zookeys.651.10336;10.3897/zookeys.637.9384;10.3897/zookeys.558.6040;10.3897/zookeys.559.6134;10.3897/zookeys.565.7185;10.3897/zookeys.577.7301;10.3897/zookeys.597.7520;10.3897/zookeys.944.49921;10.3897/zookeys.651.11235;10.3897/zookeys.649.10213;10.3897/zookeys.640.10334;10.3897/zookeys.639.10893;10.3897/zookeys.636.10216;10.3897/zookeys.628.9805;10.3897/zookeys.612.7873;10.3897/zookeys.604.8203;10.3897/evolsyst.4.60525;10.3897/zookeys.566.7344;10.3897/zookeys.524.6075,GB,United Kingdom,GN
356,ANIC,Australian National Insect Collection,COLLECTION,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.65.27424;10.3897/zookeys.830.32463;10.3897/zookeys.818.32061;10.3897/zookeys.805.28757;10.3897/jhr.57.12892;10.3897/jhr.64.24282;10.3897/jhr.64.25219;10.3897/jhr.73.38383;10.3897/zookeys.793.24790;10.3897/zookeys.517.10187;10.3897/zookeys.521.5995;10.3897/zookeys.718.21151;10.3897/zookeys.707.12649;10.3897/zookeys.695.19906;10.3897/zookeys.530.6047;10.3897/zookeys.541.6643;10.3897/zookeys.803.28903;10.3897/zookeys.700.11784;10.3897/zookeys.549.6939;10.3897/zookeys.556.6126;10.3897/zookeys.653.11177;10.3897/zookeys.638.10883;10.3897/zookeys.618.8059;10.3897/zookeys.586.6774;10.3897/zookeys.582.7709,AU,Australia,GN
355,AMNH,American Museum of Natural History,MUSEUM,ZooKeys;Journal of Hymenoptera Research;Evolutionary Systematics,10.3897/zookeys.820.32167;10.3897/zookeys.893.47059;10.3897/zookeys.891.38563;10.3897/zookeys.796.21429;10.3897/zookeys.796.21285;10.3897/zookeys.796.21240;10.3897/jhr.55.12209;10.3897/jhr.71.35754;10.3897/jhr.72.37691;10.3897/zookeys.778.25775;10.3897/zookeys.755.23939;10.3897/zookeys.867.28728;10.3897/zookeys.524.6158;10.3897/zookeys.537.6115;10.3897/zookeys.541.6297;10.3897/zookeys.646.10787;10.3897/zookeys.645.11117;10.3897/evolsyst.1.14969;10.3897/zookeys.625.9891;10.3897/jhr.77.53307;10.3897/zookeys.667.11369;10.3897/zookeys.661.11251;10.3897/zookeys.973.51435;10.3897/zookeys.626.10033;10.3897/zookeys.611.9058;10.3897/zookeys.996.56562;10.3897/zookeys.591.7731;10.3897/zookeys.584.6026;10.3897/zookeys.568.6872;10.3897/zookeys.566.6982;10.3897/zookeys.562.6124;10.3897/zookeys.562.6052;10.3897/zookeys.560.6264;10.3897/zookeys.1015.59683;10.3897/zookeys.1012.57172;10.3897/zookeys.1027.54888;10.3897/zookeys.1031.59102;10.3897/zookeys.766.24523,US,United States,GN
353,IZCAS,"Institute of Zoology, Chinese Academy of Sciences",INSTITUTE,ZooKeys;Zoosystematics and Evolution;Journal of Hymenoptera Research;Deutsche Entomologische Zeitschrift,10.3897/zookeys.829.29708;10.3897/zookeys.881.34646;10.3897/zookeys.880.34712;10.3897/zse.94.26859;10.3897/jhr.65.24872;10.3897/jhr.68.30784;10.3897/zookeys.794.29156;10.3897/zookeys.784.27758;10.3897/zookeys.749.23165;10.3897/zookeys.747.21999;10.3897/zookeys.725.15059;10.3897/zookeys.722.12362;10.3897/zookeys.720.12715;10.3897/zookeys.709.14755;10.3897/zookeys.869.35546;10.3897/zookeys.862.33078;10.3897/zookeys.857.34465;10.3897/zookeys.855.34383;10.3897/zookeys.853.33311;10.3897/zookeys.615.9964;10.3897/zookeys.647.11247;10.3897/zookeys.917.48924;10.3897/zookeys.913.48650;10.3897/zookeys.911.38761;10.3897/zookeys.909.47137;10.3897/jhr.76.50794;10.3897/zookeys.549.6046;10.3897/zookeys.931.49638;10.3897/zookeys.960.54053;10.3897/zookeys.961.53058;10.3897/zookeys.968.55047;10.3897/zookeys.679.12547;10.3897/zookeys.647.11192;10.3897/zookeys.974.56059;10.3897/zookeys.635.10487;10.3897/zookeys.630.8466;10.3897/zookeys.975.53472;10.3897/zookeys.627.8629;10.3897/jhr.79.57276;10.3897/zookeys.988.56188;10.3897/zookeys.993.53805;10.3897/zookeys.993.57676;10.3897/zookeys.596.8332;10.3897/zookeys.587.7207;10.3897/zookeys.569.6921;10.3897/zookeys.1009.59693;10.3897/zookeys.1012.59854;10.3897/zookeys.1034.59413;10.3897/zookeys.1034.60411;10.3897/zookeys.1036.60319;10.3897/zookeys.1037.65481;10.3897/dez.68.66200;10.3897/zookeys.1038.55258;10.3897/zookeys.771.23158;10.3897/zookeys.519.8784;10.3897/zookeys.902.38967;10.3897/zookeys.936.48577;10.3897/zookeys.996.55002;10.3897/zookeys.553.6153,CN,China,GS
333,NHMW,"Naturhistorisches Museum, Wien",MUSEUM,Deutsche Entomologische Zeitschrift;ZooKeys;Subterranean Biology,10.3897/dez.65.26261;10.3897/zookeys.837.32057;10.3897/zookeys.835.33231;10.3897/zookeys.833.32413;10.3897/zookeys.800.26292;10.3897/zookeys.796.22517;10.3897/zookeys.795.28384;10.3897/zookeys.786.28270;10.3897/subtbiol.23.14930;10.3897/zookeys.715.15913;10.3897/zookeys.878.37403;10.3897/zookeys.846.31497;10.3897/zookeys.842.33052;10.3897/zookeys.669.12561;10.3897/zookeys.803.28903;10.3897/zookeys.687.13844;10.3897/zookeys.685.13890;10.3897/zookeys.554.6065;10.3897/zookeys.577.7254;10.3897/zookeys.681.12522;10.3897/zookeys.619.9951;10.3897/zookeys.977.57088;10.3897/zookeys.993.53805;10.3897/zookeys.599.8168;10.3897/zookeys.582.7426;10.3897/zookeys.1004.58537;10.3897/zookeys.523.6066;10.3897/zookeys.1010.58759;10.3897/subtbiol.38.64762;10.3897/zookeys.1035.65767;10.3897/zookeys.1037.64038;10.3897/zookeys.769.25258;10.3897/zookeys.761.24214,AT,Austria,GN
328,MCZ,"Harvard University, Museum of Comparative Zoology",MUSEUM,Deutsche Entomologische Zeitschrift;Zoosystematics and Evolution;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.65.27424;10.3897/dez.66.38022;10.3897/zse.95.34958;10.3897/zookeys.891.38563;10.3897/jhr.53.9902;10.3897/zookeys.766.24523;10.3897/zookeys.737.20639;10.3897/zse.95.33880;10.3897/zookeys.857.34938;10.3897/zookeys.840.33878;10.3897/zookeys.700.11784;10.3897/zookeys.646.10787;10.3897/zookeys.625.9891;10.3897/zookeys.674.11435;10.3897/zookeys.639.10893;10.3897/zookeys.618.9692;10.3897/zookeys.979.56863;10.3897/zookeys.586.6774;10.3897/zookeys.562.6052;10.3897/zookeys.1007.60012;10.3897/zookeys.1027.54888;10.3897/zookeys.1031.59102;10.3897/zse.97.61351;10.3897/zookeys.767.21105;10.3897/zookeys.670.11839,US,United States,GN
327,ZSM,Zoologische Staatssammlung,MUSEUM,ZooKeys;Zoosystematics and Evolution;Journal of Hymenoptera Research;Nota Lepidopterologica;Evolutionary Systematics,10.3897/zookeys.837.32057;10.3897/zookeys.832.30851;10.3897/zookeys.828.32200;10.3897/zse.95.32818;10.3897/zse.94.21037;10.3897/zse.92.9945;10.3897/zookeys.897.38148;10.3897/zookeys.806.30051;10.3897/zookeys.800.26292;10.3897/jhr.67.28810;10.3897/zookeys.788.26325;10.3897/nl.40.11184;10.3897/nl.41.22840;10.3897/nl.41.26835;10.3897/zookeys.717.21885;10.3897/zookeys.715.15913;10.3897/zse.93.14906;10.3897/zookeys.878.37403;10.3897/zookeys.803.28903;10.3897/zookeys.665.11609;10.3897/zookeys.912.47719;10.3897/nl.40.10440;10.3897/zookeys.554.6065;10.3897/zookeys.577.7301;10.3897/zookeys.577.7254;10.3897/zse.96.51372;10.3897/zookeys.963.53470;10.3897/zookeys.684.13383;10.3897/zookeys.626.10033;10.3897/zookeys.619.9951;10.3897/zookeys.992.53975;10.3897/nl.41.25099;10.3897/nl.39.9090;10.3897/zookeys.1002.58017;10.3897/zookeys.582.7709;10.3897/zookeys.1023.53404;10.3897/zookeys.1033.60686;10.3897/jhr.82.64657;10.3897/evolsyst.3.33417;10.3897/zookeys.537.6090,DE,Germany,GN
303,CAS,California Academy of Sciences,MUSEUM,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research;PhytoKeys;Zoosystematics and Evolution,10.3897/dez.66.38022;10.3897/zookeys.838.30910;10.3897/zookeys.835.27528;10.3897/zookeys.896.36493;10.3897/jhr.64.25453;10.3897/jhr.73.33876;10.3897/zookeys.786.28421;10.3897/zookeys.786.27382;10.3897/zookeys.780.25859;10.3897/phytokeys.74.10159;10.3897/phytokeys.69.9466;10.3897/zookeys.521.5995;10.3897/zookeys.755.23939;10.3897/zookeys.730.21846;10.3897/zookeys.727.20222;10.3897/zookeys.710.14902;10.3897/zookeys.867.36139;10.3897/zookeys.863.33778;10.3897/zookeys.851.31802;10.3897/zookeys.848.32263;10.3897/zookeys.526.6037;10.3897/zookeys.528.6001;10.3897/dez.63.6615;10.3897/zookeys.536.5982;10.3897/zookeys.544.6074;10.3897/zookeys.632.10576;10.3897/zookeys.944.49921;10.3897/zookeys.680.11162;10.3897/zookeys.675.12061;10.3897/zookeys.674.11435;10.3897/zookeys.626.10033;10.3897/zookeys.614.10200;10.3897/zookeys.614.6156;10.3897/zookeys.989.57087;10.3897/zookeys.987.55317;10.3897/zookeys.606.8590;10.3897/zookeys.605.8060;10.3897/zookeys.586.7832;10.3897/zookeys.568.7125;10.3897/zookeys.562.6124;10.3897/zookeys.561.7263;10.3897/zookeys.1007.60012;10.3897/zookeys.1009.61515;10.3897/zse.97.61351;10.3897/zookeys.1034.60411;10.3897/phytokeys.94.21553;10.3897/zookeys.734.21153;10.3897/zookeys.914.46652;10.3897/phytokeys.161.53010;10.3897/jhr.79.55832,US,United States,GN
303,MZB,Museum Zoologicum Bogoriense,MUSEUM,ZooKeys;Zoosystematics and Evolution;Journal of Hymenoptera Research,10.3897/zookeys.828.32200;10.3897/zse.94.22120;10.3897/zookeys.897.38148;10.3897/zookeys.805.24834;10.3897/jhr.70.34206;10.3897/zookeys.781.27354;10.3897/zookeys.715.15913;10.3897/zse.91.5411;10.3897/zookeys.878.37403;10.3897/zookeys.803.28903;10.3897/zookeys.665.11609;10.3897/zookeys.554.6306;10.3897/zookeys.554.6065;10.3897/zookeys.947.53906;10.3897/zookeys.960.55007;10.3897/zookeys.660.11847;10.3897/zookeys.995.55981;10.3897/zookeys.562.6052;10.3897/zookeys.1007.59351;10.3897/zookeys.1009.54303;10.3897/zookeys.1026.61554,ID,Indonesia,GS
302,HNHM,Hungarian Natural History Museum (Termeszettudomanyi Muzeum),MUSEUM,ZooKeys;Journal of Hymenoptera Research;Subterranean Biology;Zoosystematics and Evolution;Deutsche Entomologische Zeitschrift,10.3897/zookeys.837.32057;10.3897/zookeys.825.31663;10.3897/JHR.48.7094;10.3897/zookeys.808.29433;10.3897/zookeys.796.21515;10.3897/zookeys.796.22517;10.3897/jhr.68.30131;10.3897/subtbiol.29.32779;10.3897/subtbiol.25.23463;10.3897/subtbiol.23.14930;10.3897/zookeys.523.6114;10.3897/zookeys.706.18081;10.3897/zookeys.529.6139;10.3897/zookeys.912.47719;10.3897/zookeys.565.6877;10.3897/zookeys.587.7961;10.3897/zookeys.944.49921;10.3897/zookeys.678.13059;10.3897/zookeys.632.10483;10.3897/zookeys.999.58747;10.3897/zookeys.599.8168;10.3897/zookeys.592.8118;10.3897/zse.97.59143;10.3897/dez.68.60193;10.3897/subtbiol.38.64762;10.3897/zookeys.1037.64038;10.3897/jhr.72.39339;10.3897/zookeys.769.25258,HU,Hungary,GN
294,RMNH,"Naturalis Biodiversity Center, Zoology Collections",MUSEUM,ZooKeys;Journal of Hymenoptera Research;Nota Lepidopterologica,10.3897/zookeys.837.32057;10.3897/zookeys.835.33231;10.3897/JHR.46.5763;10.3897/zookeys.896.36493;10.3897/zookeys.800.26292;10.3897/jhr.52.9806;10.3897/jhr.64.25453;10.3897/jhr.66.28881;10.3897/jhr.71.35754;10.3897/jhr.72.39333;10.3897/zookeys.780.26388;10.3897/zookeys.777.23212;10.3897/zookeys.773.24878;10.3897/nl.40.12674;10.3897/zookeys.522.10294;10.3897/zookeys.723.21668;10.3897/zookeys.842.33052;10.3897/zookeys.840.33878;10.3897/zookeys.524.6158;10.3897/zookeys.531.6097;10.3897/zookeys.537.6592;10.3897/zookeys.663.11874;10.3897/zookeys.647.11247;10.3897/zookeys.623.10045;10.3897/zookeys.712.14955;10.3897/zookeys.652.11252;10.3897/zookeys.651.11235;10.3897/zookeys.646.11397;10.3897/zookeys.639.10893;10.3897/zookeys.629.10167;10.3897/zookeys.628.9805;10.3897/zookeys.619.10043;10.3897/zookeys.612.9751;10.3897/zookeys.606.9656;10.3897/zookeys.606.9310;10.3897/zookeys.604.8976;10.3897/zookeys.594.5954;10.3897/zookeys.589.8361;10.3897/zookeys.587.8188;10.3897/zookeys.588.7906;10.3897/zookeys.581.8044;10.3897/zookeys.581.7455;10.3897/zookeys.576.8177;10.3897/zookeys.567.7212;10.3897/zookeys.562.6181;10.3897/zookeys.557.6298;10.3897/zookeys.539.6529;10.3897/zookeys.1014.60426;10.3897/zookeys.1038.64978;10.3897/jhr.65.27626;10.3897/zookeys.771.24165;10.3897/zookeys.736.20739;10.3897/nl.40.14528;10.3897/nl.43.48404;10.3897/zookeys.926.47270,NL,Netherlands,GN
271,SMNK,Staatliches Museum fuer Naturkunde Karlsruhe (State Museum of Natural History),MUSEUM,Deutsche Entomologische Zeitschrift;ZooKeys;Nota Lepidopterologica;Zoosystematics and Evolution,10.3897/dez.65.25747;10.3897/zookeys.828.32200;10.3897/zookeys.800.26292;10.3897/nl.40.11184;10.3897/zookeys.556.6126;10.3897/zse.96.55210;10.3897/zookeys.603.7480;10.3897/zookeys.582.7709;10.3897/zookeys.1028.62347,DE,Germany,GN
260,FSCA,"Florida State Collection of Arthropods, The Museum of Entomology",MUSEUM,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.66.38022;10.3897/zookeys.893.47059;10.3897/zookeys.796.22517;10.3897/jhr.55.12209;10.3897/jhr.73.38025;10.3897/zookeys.787.26948;10.3897/zookeys.778.25775;10.3897/zookeys.755.23939;10.3897/zookeys.747.22731;10.3897/zookeys.736.21628;10.3897/zookeys.702.14728;10.3897/zookeys.863.33183;10.3897/zookeys.527.6087;10.3897/zookeys.532.6587;10.3897/zookeys.690.13751;10.3897/zookeys.637.11001;10.3897/zookeys.580.8153;10.3897/zookeys.935.50492;10.3897/zookeys.959.53415;10.3897/zookeys.681.12522;10.3897/zookeys.674.11435;10.3897/zookeys.648.10935;10.3897/zookeys.974.54536;10.3897/zookeys.626.10033;10.3897/zookeys.617.9178;10.3897/zookeys.984.53587;10.3897/zookeys.995.55981;10.3897/zookeys.1001.58447;10.3897/zookeys.566.6982;10.3897/zookeys.557.7087;10.3897/zookeys.533.6004;10.3897/jhr.80.59466;10.3897/zookeys.1024.56927;10.3897/jhr.55.5322,US,United States,GN
